APPLIED,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Binasa ,"Nauunawaan ang
kalikasan, layunin at
paraan ng pagsulat ng
iba’t ibang anyo ng
sulating ginagamit sa
pag-aaral sa iba’t ibang larangan ","1. Nabibigyang-kahulugan ang
akademikong pagsulat",CS_FA11/12PB-0a-c-101
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Napakinggan ,"Nauunawaan ang
kalikasan, layunin at
paraan ng pagsulat ng
iba’t ibang anyo ng
sulating ginagamit sa
pag-aaral sa iba’t ibang larangan ","2. Nakikilala ang iba’t ibang
akademikong sulatin ayon
sa:
(a) Layunin
(b) Gamit
(c) Katangian
(d) Anyo",CS_FA11/12PN-0a-c-90
APPLIED,Pagsulat sa Filipino sa Piling Larang,Estratehiya sa Pag-aaral,"Nauunawaan ang
kalikasan, layunin at
paraan ng pagsulat ng
iba’t ibang anyo ng
sulating ginagamit sa
pag-aaral sa iba’t ibang larangan ","3. Nakapagsasagawa ng panimulang
pananaliksik kaugnay ng
kahulugan, kalikasan, at katangian
ng iba’t ibang anyo ng sulating
akademiko",CS_FA11/12EP-0a-c-39
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pagsulat,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","1. Naisasagawa nang mataman ang
mga hakbang sa pagsulat ng mga
piniling akademikong sulatin",CS_FA11/12PU-0d-f-92
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pagsulat,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","2. Nakasusunod sa istilo at teknikal
na pangangailangan ng
akademikong sulatin",CS_FA11/12PU-0d-f-93
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Napakinggan ,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","3. Napagtitibay ang natamong
kasanayan sa pagsulat ng
talumpati sa pamamagitan ng
pinakinggang halimbawa",CS_FA11/12PN-0g-i-91
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Napakinggan ,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","4. Natutukoy ang mahahalagang
impormasyong pinakinggan upang
makabuo ng katitikan ng pulong
at sintesis",CS_FA11/12PN-0j-l-92
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Binasa,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","5. Nakikilala ang mga katangian ng
mahusay na sulating akademiko
sa pamamagitan ng mga binasang
halimbawa",CS_FA11/12PB-0m-o-102
APPLIED,Pagsulat sa Filipino sa Piling Larang,Paglinang ng Talasalitaan,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","6. Nabibigyang-kahulugan ang mga
terminong akademiko na may
kaugnayan sa piniling sulatin",CS_FA11/12PT-0m-o-90
APPLIED,Pagsulat sa Filipino sa Piling Larang,Panonood ,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","7. Natitiyak ang mga elemento
ngpaglalahad ng pinanood na
episodyo ng isang programang
pampaglalakbay",CS_FA11/12PD-0m-o-89
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pagsulat,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","8. Nakasusulat ng organisado,
malikhain, at kapani-paniwalang
sulatin","CS_FA11/12PU-0p-r-94"
APPLIED,Pagsulat sa Filipino sa Piling Larang,Wika at Gramatika ,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","9. Nakasusulat ng sulating batay sa
maingat, wasto, at angkop na
paggamit ng wika",CS_FA11/12WG-0p-r-93
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pagsulat,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","10. Nakabubuo ng sulating may
batayang pananaliksik ayon sa
pangangailangan",CS_FA11/12PU-0p-r-95
APPLIED,Pagsulat sa Filipino sa Piling Larang,Estratehiya sa Pag-aaral,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","11. Naisasaalang-alang ang etika sa
binubuong akademikong sulatin","CS_FA11/12EP-0p-r-40"
APPLIED,Pagsulat sa Filipino sa Piling Larang,Pagsulat,"Natitiyak ang angkop na
proseso ng pagsulat ng
piling sulating
akademiko
Nagagamit ang angkop
na format at teknik ng
pagsulat ng
akademikong sulatin","Nakabubuo ng portfolio ng mga
produktong sulatin ",CS_FA11/12PU-0s-t-96
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of concepts, underlying principles, and processes of developing a business plan.",Identify the market problem to be solved or the market need to be met,CS_EP11/12ENTREP-0a-1
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of concepts, underlying principles, and processes of developing a business plan.","Propose solution/s in terms of product/s and service/s that will meet the need using techniques on seeking, screening, and seizing opportunities",CS_EP11/12ENTREP-0a-2
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of concepts, underlying principles, and processes of developing a business plan.",Analyze the market need,CS_EP11/12ENTREP-0a-3
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of concepts, underlying principles, and processes of developing a business plan.",Determine the possible product/s or service/s that will meet the need,CS_EP11/12ENTREP-0a-4
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of concepts, underlying principles, and processes of developing a business plan.","Screen the proposedsolution/s based on viability, profitability, and customer",CS_EP11/12ENTREP-0b-c-5
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of concepts, underlying principles, and processes of developing a business plan.","Select the best product or service that will meet the market need.",CS_EP11/12ENTREP-0d-6
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Describe the unique selling proposition and value proposition that differentiates one’sproduct/service from existing products/services,CS_EP11/12ENTREP-0d-7
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Determine who the customers are in terms of: Target market; Customer requirements; and Market size,CS_EP11/12ENTREP-0d-8
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Validate customer-related concerns through: Interview; Focused Group Discussion (FGD); and Survey,CS_EP11/12ENTREP-0d-g-9
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Describe the Marketing Mix (7Ps) in relation to the business opportunity vis-à-vis: Product; Place; Price; Promotion; People; Packaging; and Positioning,"CS_EP11/12ENTREP-0h-j-10"
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Develop a brand name,CS_EP11/12ENTREP-0h-j-11
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.","Describe the 4Ms (Manpower, Method, Machine, Materials) of operations in relation to the business opportunity: Develop a product description; Create a prototype of the product; Test the product prototype; Validate the service description of the product with potential customers to determine its market acceptability; Select/pinpoint potential suppliers of raw materials and other inputs necessary for the production of the product or service; Discuss the value/supply chain in relation to the business enterprise; and Recruit qualified people for one’s business enterprise.",CS_EP11/12ENTREP-0h-j-12
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Develop the business model,"CS_EP11/12ENTREP-0h-j-13"
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Forecast the revenues of the business,"CS_EP11/12ENTREP-0h-j-14"
APPLIED,Entrepreneurship,Entrepreneurship,"The learner demonstrates understanding of environment and market in one’s locality/town.",Forecast the costs to be incurred,"CS_EP11/12ENTREP-0h-j-15"
